Column Name,Type,Info Re.,Based On,Description / Notes
fraction_csp3,Float,Compound,canonical_smiles + built-in RDKit methods,Fraction of C atoms that are SP3 hybridized (rdkit.Chem.Descriptors. FractionCSP3)
ring_count,Int,Compound,"""",(rdkit.Chem.Descriptors. RingCount)
num_aliphatic\_ rings,Int,Compound,"""",Number of aliphatic (containing at least one non-aromatic bond) rings (rdkit.Chem.Descriptors. NumAliphaticRings)
num_aliphatic\_ carbocycles,Int,Compound,"""",Number of aliphatic (containing at least one non-aromatic bond) carbocycles (rdkit.Chem.Descriptors. NumAliphaticCarbocycles)
num_aliphatic\_ heterocycles,Int,Compound,"""",Number of aliphatic (containing at least one non-aromatic bond) heterocycles (rdkit.Chem.Descriptors. NumAliphaticHeterocycles)
num_aromatic\_ rings,Int,Compound,"""",Number of aromatic rings (rdkit.Chem.Descriptors. NumAromaticRings)
num_aromatic\_ carbocycles,Int,Compound,"""",Number of aromatic carbocycles (rdkit.Chem.Descriptors. NumAromaticCarbocycles)
num_aromatic\_ heterocycles,Int,Compound,"""",Number of aromatic heterocycles (rdkit.Chem.Descriptors. NumAromaticHeterocycles)
num_saturated\_ rings,Int,Compound,"""",Number of saturated rings (rdkit.Chem.Descriptors. NumSaturatedRings)
num_saturated\_ carbocycles,Int,Compound,"""",Number of saturated carbocycles (rdkit.Chem.Descriptors. NumSaturatedCarbocycles)
num_saturated\_ heterocycles,Int,Compound,"""",Number of saturated heterocycles (rdkit.Chem.Descriptors. NumSaturatedHeterocycles)
num_stereocentres,Int,Compound,"""",Number of atomic stereocenters (specified and unspecified) (rdkit.Chem.rdMolDescriptors. CalcNumAtomStereoCenters)
num_heteroatoms,Int,Compound,"""",Number of heteroatoms (rdkit.Chem.Descriptors. NumHeteroatoms)